time,open,high,low,close,volume,quoat_asset_volume,n_trades,taker_base_vol,taker_quote_vol
2020-09-24 18:04:59.999,10626.61,10631.25,10621.0,10629.16,83.75305,890010.7,2164,38.679947,411050.25
2020-09-24 18:09:59.999,10629.17,10678.0,10629.17,10650.4,229.64523,2447320.5,4008,125.375534,1336042.2
2020-09-24 18:14:59.999,10650.41,10658.33,10650.4,10652.8,89.154686,949803.9,1856,53.666195,571731.0
2020-09-24 18:19:59.999,10652.81,10660.0,10650.4,10655.8,139.38602,1485243.1,2190,43.25926,461017.94
2020-09-24 18:24:59.999,10655.8,10655.99,10650.4,10650.41,83.11776,885449.2,1637,18.438305,196419.48
2020-09-24 18:29:59.999,10650.41,10652.11,10645.15,10646.47,75.80556,807330.44,1469,19.016335,202534.4
2020-09-24 18:34:59.999,10646.85,10647.53,10637.3,10639.7,80.86773,860487.7,2186,36.555447,388967.4
2020-09-24 18:39:59.999,10639.71,10646.14,10638.5,10642.72,75.39356,802296.1,1435,52.395634,557583.3
2020-09-24 18:44:59.999,10642.72,10642.72,10636.0,10636.19,49.635876,528133.6,1405,24.036343,255755.4
2020-09-24 18:49:59.999,10636.2,10641.85,10634.0,10641.33,51.57641,548661.75,1181,23.441965,249376.48
2020-09-24 18:54:59.999,10641.34,10655.04,10641.34,10652.52,121.18646,1290434.5,2339,84.08587,895322.06
2020-09-24 18:59:59.999,10652.52,10652.78,10644.44,10647.25,51.063656,543764.75,1300,24.189154,257566.47
2020-09-24 19:04:59.999,10647.25,10650.1,10605.0,10636.93,202.45442,2153484.8,2561,58.426517,621528.6
2020-09-24 19:09:59.999,10636.94,10651.81,10636.94,10651.07,88.99512,947461.7,1557,33.503284,356661.22
2020-09-24 19:14:59.999,10651.06,10660.03,10647.34,10660.0,80.13205,853838.5,1703,47.379017,504852.53
2020-09-24 19:19:59.999,10660.0,10694.64,10657.96,10693.0,270.90497,2891117.5,2859,157.98665,1686053.6
2020-09-24 19:24:59.999,10693.0,10709.0,10687.07,10691.8,315.51712,3375573.8,4286,162.85814,1742520.6
2020-09-24 19:29:59.999,10691.8,10696.25,10684.57,10691.18,83.874535,896508.0,1733,31.648851,338271.16
2020-09-24 19:34:59.999,10691.18,10694.52,10678.05,10678.77,92.1345,984609.3,2057,41.086056,439124.53
2020-09-24 19:39:59.999,10678.76,10690.17,10673.71,10680.36,145.03325,1549141.6,2074,68.70887,733845.25
2020-09-24 19:44:59.999,10680.35,10691.09,10673.16,10673.74,113.999405,1217623.0,1664,48.17215,514557.44
2020-09-24 19:49:59.999,10673.73,10708.87,10671.51,10708.87,208.23206,2226072.0,3035,113.32975,1211421.4
2020-09-24 19:54:59.999,10708.21,10795.24,10708.2,10764.02,1124.549,12104282.0,11975,602.22577,6480629.5
2020-09-24 19:59:59.999,10764.06,10771.0,10755.55,10762.4,298.9413,3217809.5,3568,177.90411,1915090.1
2020-09-24 20:04:59.999,10762.39,10768.99,10735.0,10735.0,396.14807,4259061.5,3944,142.65623,1533904.6
2020-09-24 20:09:59.999,10735.0,10746.24,10719.13,10742.53,320.37338,3438208.8,3299,138.41972,1485356.9
2020-09-24 20:14:59.999,10742.54,10742.54,10721.02,10729.86,194.6627,2088661.9,2650,69.25025,743165.25
2020-09-24 20:19:59.999,10729.86,10745.9,10728.77,10737.06,210.99323,2265375.8,2173,89.42783,960119.06
2020-09-24 20:24:59.999,10737.06,10741.52,10728.24,10729.76,126.03854,1353170.8,1596,30.491842,327367.06
2020-09-24 20:29:59.999,10729.77,10746.9,10728.7,10742.98,179.02959,1922709.0,2230,83.603775,897884.9
2020-09-24 20:34:59.999,10742.98,10746.62,10738.14,10739.97,142.29565,1528703.0,1874,25.22833,270990.94
2020-09-24 20:39:59.999,10739.96,10744.33,10735.31,10742.99,90.06657,967374.5,1553,30.827671,331065.06
2020-09-24 20:44:59.999,10742.99,10743.0,10732.51,10733.28,84.780174,910519.1,1455,20.222986,217153.23
2020-09-24 20:49:59.999,10733.28,10737.18,10725.0,10725.0,81.75719,877484.8,1823,42.97252,461220.78
2020-09-24 20:54:59.999,10724.89,10738.93,10720.0,10730.63,190.74316,2046359.2,2387,89.582535,961082.9
2020-09-24 20:59:59.999,10730.64,10739.65,10727.95,10736.32,112.52445,1207448.4,1835,58.593414,628768.7
2020-09-24 21:04:59.999,10736.33,10760.53,10732.95,10750.0,401.48462,4314029.0,4080,212.2848,2281014.2
2020-09-24 21:09:59.999,10750.0,10750.01,10730.68,10733.69,167.63809,1800064.8,2855,58.00695,622770.6
2020-09-24 21:14:59.999,10733.69,10733.7,10701.0,10703.25,226.43906,2426136.0,4417,107.609795,1152852.4
2020-09-24 21:19:59.999,10703.24,10722.54,10698.0,10716.97,161.79686,1733068.2,2266,74.140656,793998.56
2020-09-24 21:24:59.999,10716.97,10722.26,10705.56,10707.51,137.03165,1468070.5,2131,40.54628,434375.12
2020-09-24 21:29:59.999,10707.51,10718.0,10705.19,10705.94,181.59819,1945151.6,1833,89.90499,962982.94
2020-09-24 21:34:59.999,10705.79,10708.88,10695.95,10695.98,122.52175,1311288.5,1515,45.680458,488872.3
2020-09-24 21:39:59.999,10695.98,10705.08,10693.62,10701.9,111.49209,1193080.1,1359,49.463135,529265.0
2020-09-24 21:44:59.999,10701.89,10706.81,10692.38,10706.41,128.7943,1377972.1,1796,85.32546,912887.75
2020-09-24 21:49:59.999,10706.41,10714.07,10696.27,10699.51,106.71023,1142526.4,1413,43.314808,463647.72
2020-09-24 21:54:59.999,10699.51,10710.14,10698.49,10703.07,125.51798,1343502.1,1471,53.16886,569078.75
2020-09-24 21:59:59.999,10703.07,10715.0,10703.07,10711.94,95.628716,1024348.8,1743,49.61832,531461.7
2020-09-24 22:04:59.999,10711.93,10727.81,10700.5,10727.79,179.92862,1928541.1,1863,90.632545,971293.3
2020-09-24 22:09:59.999,10727.81,10727.81,10712.38,10716.8,90.65621,971998.4,1625,27.0919,290446.4
2020-09-24 22:14:59.999,10716.38,10717.01,10710.83,10713.35,57.977314,621175.5,1134,19.399174,207846.75
2020-09-24 22:19:59.999,10713.26,10727.66,10713.06,10727.09,70.988716,761103.0,1310,33.964417,364120.88
2020-09-24 22:24:59.999,10727.1,10730.82,10726.35,10728.98,54.58495,585645.94,1074,27.847513,298775.9
2020-09-24 22:29:59.999,10728.98,10730.3,10724.06,10724.41,70.36107,754736.56,1311,20.985653,225098.22
2020-09-24 22:34:59.999,10724.41,10724.83,10696.26,10701.28,140.42807,1504190.9,2080,59.22282,634192.0
2020-09-24 22:39:59.999,10701.27,10703.59,10696.27,10696.73,77.36847,827772.0,1261,17.883587,191336.3
2020-09-24 22:44:59.999,10696.92,10704.03,10684.52,10689.23,191.02724,2043017.8,1916,88.042076,941623.3
2020-09-24 22:49:59.999,10689.24,10698.76,10688.95,10691.27,91.9394,983022.6,1750,48.913715,523010.94
2020-09-24 22:54:59.999,10691.26,10694.92,10689.18,10689.18,112.04209,1197946.5,1608,53.67405,573861.2
2020-09-24 22:59:59.999,10689.18,10693.33,10684.03,10690.98,127.47298,1362436.9,1780,82.49512,881729.75
2020-09-24 23:04:59.999,10690.98,10700.78,10685.57,10698.38,108.980354,1165353.0,2088,59.009026,630953.75
2020-09-24 23:09:59.999,10698.38,10705.52,10692.31,10695.33,101.41015,1084901.9,1814,33.937588,363096.06
2020-09-24 23:14:59.999,10695.33,10709.43,10692.93,10704.64,122.69055,1313011.5,1755,69.1537,740017.75
2020-09-24 23:19:59.999,10704.64,10711.07,10703.61,10706.46,101.25201,1084103.6,1192,44.514896,476627.88
2020-09-24 23:24:59.999,10706.46,10709.68,10695.36,10699.43,80.19513,858182.2,1407,36.03595,385611.56
2020-09-24 23:29:59.999,10699.43,10703.17,10690.86,10703.0,140.07195,1498103.8,1592,70.24319,751277.56
2020-09-24 23:34:59.999,10703.0,10703.0,10690.8,10693.36,64.744705,692488.44,1130,23.51149,251465.05
2020-09-24 23:39:59.999,10693.36,10727.2,10692.25,10724.9,124.075066,1328557.6,2618,76.69139,821205.8
2020-09-24 23:44:59.999,10724.89,10724.9,10708.85,10715.48,134.50684,1441270.0,2117,67.88787,727448.1
2020-09-24 23:49:59.999,10715.46,10715.92,10709.59,10713.3,68.008446,728560.5,1210,30.08534,322297.56
2020-09-24 23:54:59.999,10713.3,10717.07,10709.81,10712.73,157.24458,1684595.9,1877,79.28911,849473.06
2020-09-24 23:59:59.999,10712.73,10718.09,10709.8,10710.64,156.85698,1680722.4,1662,99.563484,1066860.6
2020-09-25 00:04:59.999,10710.64,10712.35,10697.95,10708.07,158.44073,1696059.4,2228,73.42214,785964.75
2020-09-25 00:09:59.999,10708.07,10711.4,10702.06,10703.1,131.54613,1408334.5,1780,77.68299,831634.4
2020-09-25 00:14:59.999,10703.1,10705.64,10697.46,10698.17,109.87914,1175908.2,1845,52.922035,566367.6
2020-09-25 00:19:59.999,10698.16,10709.31,10693.89,10706.73,126.04415,1348986.4,1840,72.1278,771960.75
2020-09-25 00:24:59.999,10706.74,10709.45,10702.18,10706.09,63.774933,682838.5,1146,31.938421,341967.0
2020-09-25 00:29:59.999,10706.09,10719.89,10702.81,10714.11,135.447,1450835.2,2361,68.4598,733350.3
2020-09-25 00:34:59.999,10714.12,10720.0,10703.69,10705.0,99.20025,1062857.2,1377,29.88824,320278.16
2020-09-25 00:39:59.999,10705.0,10705.01,10687.21,10690.41,92.53861,989653.6,1503,36.01881,385176.0
2020-09-25 00:44:59.999,10690.42,10697.02,10688.26,10689.09,112.395485,1201691.0,1723,57.299515,612647.2
2020-09-25 00:49:59.999,10689.35,10698.06,10687.71,10692.37,124.533195,1331614.1,2043,89.354645,955449.7
2020-09-25 00:54:59.999,10692.37,10694.48,10682.98,10685.87,60.09653,642334.94,1235,26.059822,278539.3
2020-09-25 00:59:59.999,10685.87,10687.15,10663.14,10667.47,174.53969,1862911.4,3151,87.70324,936045.06
2020-09-25 01:04:59.999,10667.47,10675.97,10655.74,10674.54,208.61975,2225148.5,3227,132.09592,1408978.4
2020-09-25 01:09:59.999,10674.54,10678.92,10664.27,10674.71,128.48257,1371111.0,1961,64.23303,685489.75
2020-09-25 01:14:59.999,10674.72,10678.8,10671.91,10675.99,89.18138,952062.25,1788,50.42483,538324.06
2020-09-25 01:19:59.999,10675.98,10678.25,10665.17,10666.98,93.21264,994818.0,1713,44.038147,469999.16
2020-09-25 01:24:59.999,10667.13,10678.91,10667.13,10678.39,104.85939,1119281.0,1771,73.98182,789708.5
2020-09-25 01:29:59.999,10678.4,10691.73,10677.77,10691.72,93.85161,1002662.6,1567,54.168007,578678.94
2020-09-25 01:34:59.999,10691.72,10693.99,10686.79,10688.64,79.57618,850747.9,1167,32.907555,351800.8
2020-09-25 01:39:59.999,10688.5,10690.0,10685.97,10688.77,49.975174,534126.06,1013,24.473413,261571.11
2020-09-25 01:44:59.999,10688.78,10688.78,10684.06,10684.31,60.00505,641195.8,970,24.554193,262386.06
2020-09-25 01:49:59.999,10684.31,10688.21,10683.96,10685.28,63.995308,683816.2,1047,30.468815,325579.6
2020-09-25 01:54:59.999,10685.28,10688.41,10683.54,10688.41,60.19095,643225.25,878,27.537664,294278.94
2020-09-25 01:59:59.999,10688.41,10688.41,10676.04,10677.05,105.00612,1121641.2,1421,54.642338,583700.5
2020-09-25 02:04:59.999,10677.05,10677.05,10656.81,10658.42,175.21628,1868694.9,2518,84.6817,903087.56
2020-09-25 02:09:59.999,10658.41,10665.27,10655.65,10660.6,132.60925,1413746.0,2102,76.95674,820455.0
2020-09-25 02:14:59.999,10660.6,10668.88,10660.6,10663.42,78.522255,837438.75,1545,54.826336,584725.1
2020-09-25 02:19:59.999,10663.42,10675.66,10661.12,10674.12,100.03459,1067234.0,1573,48.153023,513696.9
2020-09-25 02:24:59.999,10674.12,10677.07,10671.0,10677.07,59.420837,634209.1,1187,28.290396,301949.6
2020-09-25 02:29:59.999,10677.07,10682.23,10671.41,10679.23,92.02068,982443.1,1223,56.094856,598880.06
2020-09-25 02:34:59.999,10679.23,10681.79,10673.92,10681.15,70.44369,752195.06,1193,25.550968,272857.44
2020-09-25 02:39:59.999,10681.16,10681.98,10669.98,10672.0,111.8439,1194232.4,1277,30.449142,325134.6
